aX,aY,aZ,gX,gY,gZ
0.032,-0.035,0.512,3.845,2.014,-9.521
0.029,-0.044,0.508,4.211,2.258,-9.583
0.026,-0.056,0.505,4.944,2.441,-9.338
0.025,-0.063,0.501,5.127,2.380,-8.545
0.027,-0.068,0.503,4.272,2.563,-7.690
0.028,-0.073,0.502,3.662,2.258,-6.775
0.027,-0.078,0.493,3.174,2.197,-4.822
0.026,-0.078,0.483,2.625,1.282,-3.418
0.019,-0.073,0.474,2.441,0.122,-2.197
0.014,-0.068,0.463,2.319,-0.854,-1.343
0.011,-0.057,0.460,2.502,-2.869,-0.916
0.010,-0.047,0.467,3.174,-4.700,-0.366
0.009,-0.033,0.472,3.296,-5.981,-0.183
0.001,-0.027,0.481,3.479,-7.263,-0.549
0.029,-0.017,0.489,4.272,-7.874,-1.404
0.002,-0.012,0.504,4.456,-7.874,-2.258
0.004,-0.005,0.510,4.211,-7.507,-2.991
0.007,-0.004,0.515,4.822,-7.202,-3.662
0.010,-0.006,0.516,4.822,-7.263,-4.333
0.011,-0.006,0.516,4.639,-6.531,-4.578
0.013,-0.007,0.517,4.639,-6.104,-4.639
