aX,aY,aZ,gX,gY,gZ
0.084,0.066,0.394,-4.272,28.137,-4.028
0.089,0.062,0.393,-3.845,28.320,-4.883
0.088,0.065,0.389,-5.127,29.114,-5.859
0.091,0.070,0.377,-6.653,29.053,-7.263
0.093,0.071,0.363,-7.935,28.137,-8.789
0.099,0.062,0.347,-9.338,26.184,-10.010
0.107,0.048,0.339,-10.376,24.292,-11.230
0.114,0.038,0.337,-10.986,21.790,-11.169
0.120,0.016,0.340,-11.841,19.897,-11.108
0.120,0.001,0.350,-12.268,17.822,-10.925
0.119,-0.017,0.367,-12.329,17.334,-10.132
0.118,-0.026,0.381,-12.634,18.127,-9.216
